"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","r","","26","1699419342550","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"27","1699419342551","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","27","1699419342819","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"28","1699419342836","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","28","1699419342921","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"29","1699419342922","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","29","1699419343044","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"30","1699419343046","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","(","","30","1699419344458","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","31","1699419344460","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"31","1699419344461","main.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke","""",,"32","1699419345931","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","31","1699419345929","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","32","1699419345931","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"32","1699419345932","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Action","Backspace",,,"1699419347210","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","32","1699419347212","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","""","31","1699419347214","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419347622","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","(","30","1699419347624","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","",")","30","1699419347625","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419347766","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","29","1699419347768","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419347940","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","28","1699419347942","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419348140","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","27","1699419348141","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","""",,"32","1699419345932","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","i",,"28","1699419349056","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419349237","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419349280","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","p",,"26","1699419350936","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"27","1699419351035","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"28","1699419351188","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419351298","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419351383","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"28","1699419349057","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419349237","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419349280","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","p",,"26","1699419350936","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"27","1699419351035","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"28","1699419351188","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419351298","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419351383","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","i","","27","1699419349055","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"28","1699419349057","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","28","1699419349223","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"29","1699419349237","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","29","1699419349279","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"30","1699419349280","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Backspace",,,"1699419349516","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","29","1699419349518","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419350113","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","28","1699419350115","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419350142","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","27","1699419350143","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419350172","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","26","1699419350173","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1699419350202","main.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","P","25","1699419350203","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","p","","25","1699419350933","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"26","1699419350936","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","26","1699419351034","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"27","1699419351035","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","27","1699419351178","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"28","1699419351188","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","28","1699419351291","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"29","1699419351298","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","29","1699419351376","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"30","1699419351383","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Choose Lookup Item",,,"1699419351897","main.py","1.1.5 for 2021-2022 @t1",,"Choose Lookup Item",,,,,
"File.Edit","(","","30","1699419351932","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","31","1699419351933","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"32","1699419358719","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"33","1699419359463","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"34","1699419360348","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"35","1699419360691","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"36","1699419361330","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit","|","","31","1699419358716","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"32","1699419358719","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","32","1699419359461","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"33","1699419359463","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","32","1699419360346","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"34","1699419360348","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","34","1699419360690","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"35","1699419360691","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","|","","35","1699419361330","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","|",,"36","1699419361330","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke","|",,"32","1699419358719","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"X-Keystroke"," ",,"33","1699419359463","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"34","1699419360348","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"35","1699419360691","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","|",,"36","1699419361330","main.py","1.1.5 for 2021-2022 @t1",,"|",,,,,
"File.Edit"," ","","36","1699419362050","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"37","1699419362052","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","36","1699419362841","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"38","1699419362842","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","_","","38","1699419364565","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"39","1699419364567","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","38","1699419364819","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"40","1699419364827","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"37","1699419362052","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"38","1699419362842","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"39","1699419364567","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"40","1699419364827","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"37","1699419362052","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"38","1699419362842","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"39","1699419364567","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"40","1699419364827","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","40","1699419365152","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"41","1699419365160","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"41","1699419365160","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"41","1699419365160","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","""","","31","1699419368786","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","32","1699419368788","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"32","1699419368788","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Action","Delete",,,"1699419370112","main.py","1.1.5 for 2021-2022 @t1",,"Delete",,,,,
"File.Edit","","""","32","1699419370125","main.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","""",,"32","1699419368788","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"32","1699419368788","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"43","1699419372646","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","42","1699419372645","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"43","1699419372646","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Action","Left",,,"1699419374711","main.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Keystroke","""",,"43","1699419372646","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit"," ","","42","1699419375691","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"43","1699419375693","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","42","1699419376487","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"44","1699419376489","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","44","1699419377511","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"45","1699419377512","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"43","1699419375693","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"44","1699419376489","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"45","1699419377512","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"43","1699419375693","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"44","1699419376489","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"45","1699419377512","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","_","","45","1699419379812","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"46","1699419379813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","45","1699419379996","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"47","1699419379997","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","47","1699419380225","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"48","1699419380226","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit"," ","","48","1699419381001","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"49","1699419381002","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","48","1699419381215","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"50","1699419381216","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","50","1699419381533","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"51","1699419381534","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"46","1699419379813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"47","1699419379997","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"48","1699419380226","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"49","1699419381002","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"50","1699419381216","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"51","1699419381534","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"46","1699419379813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"47","1699419379997","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"48","1699419380226","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"49","1699419381002","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"50","1699419381216","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"51","1699419381534","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","_","","51","1699419382858","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"52","1699419382860","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","51","1699419383149","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"53","1699419383150","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","53","1699419383600","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"54","1699419383601","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","54","1699419385811","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"55","1699419385813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"52","1699419382860","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"53","1699419383149","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"54","1699419383601","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"55","1699419385813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"52","1699419382860","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"53","1699419383149","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"54","1699419383601","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"55","1699419385813","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit"," ","","55","1699419389112","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"56","1699419389114","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","55","1699419390188","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"57","1699419390189","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","57","1699419390595","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"58","1699419390596","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"56","1699419389114","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"57","1699419390189","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"58","1699419390596","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"56","1699419389114","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"57","1699419390189","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"58","1699419390596","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"59","1699419392977","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"60","1699419393190","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"61","1699419393598","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"62","1699419394814","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"63","1699419395856","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","_","","58","1699419392976","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"59","1699419392977","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","58","1699419393189","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"60","1699419393190","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","60","1699419393597","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"61","1699419393598","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit"," ","","61","1699419394812","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"62","1699419394814","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","61","1699419395855","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"63","1699419395856","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"59","1699419392977","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"60","1699419393190","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"61","1699419393598","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"62","1699419394814","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke"," ",,"63","1699419395856","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit"," ","","63","1699419396197","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"64","1699419396199","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","_","","64","1699419398628","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"65","1699419398630","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","64","1699419398797","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"66","1699419398798","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"File.Edit","_","","66","1699419399076","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","_",,"67","1699419399077","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"64","1699419396199","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"65","1699419398629","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"66","1699419398798","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"67","1699419399077","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke"," ",,"64","1699419396199","main.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","_",,"65","1699419398629","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"66","1699419398798","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Keystroke","_",,"67","1699419399077","main.py","1.1.5 for 2021-2022 @t1",,"_",,,,,
"X-Action","Enter",,,"1699419402579","main.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","69","1699419402583","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","p","","70","1699419403225","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"71","1699419403226","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","71","1699419403420","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"72","1699419403431","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","72","1699419403504","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"73","1699419403515","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","73","1699419403613","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"74","1699419403622","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","74","1699419403713","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"75","1699419403719","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Action","Choose Lookup Item",,,"1699419403956","main.py","1.1.5 for 2021-2022 @t1",,"Choose Lookup Item",,,,,
"File.Edit","(","","75","1699419403967","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","76","1699419403968","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","76","1699419404707","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","77","1699419404708","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"77","1699419404708","main.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","p",,"71","1699419403226","main.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"72","1699419403431","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"73","1699419403515","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"74","1699419403622","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"75","1699419403719","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
